,outcome_id,learning_outcome,human_category,model_category,exact_match
1,0,"Demonstrate research skills including accessing the existing literature, analysing data, and where appropriate developing and checking mathematical models;",apply,analyze,FALSE
2,1,"Identify local, national and international people and events relevant to current issues and media issues related to lifestyle journalism.",remember,analyze,FALSE
3,2,Assess space-time coding schemes that are capable of improving the channel capacity of wireless systems.,evaluate,analyze,FALSE
4,3,Analyse activist art critically in a manner that reveals the strengths and weaknesses of different artistic approaches;,analyze,analyze,TRUE
5,4,Analyse the psychosocial impact of a chronic wound on the individual's quality of life.,analyze,analyze,TRUE
6,5,develop an understanding of a constructivist perspective on learning and its implications and a variety of assessment techniques available for use in mathematics education classrooms,understand,understand,TRUE
7,6,Demonstrate a detailed knowledge of contemporary Australian art and the various art institutions of Melbourne;,apply,understand,FALSE
8,7,Further develop oral skills in legal argumentation in class discussions.,create,apply,FALSE
9,8,Conduct interviews and gather appropriate evidentiary material in the appropriate medium;,apply,create,FALSE
10,9,Research and analyse contextual information and theoretical approaches to the understanding of election law at both a national and trans-national level.,analyze,analyze,TRUE
11,10,evaluate philosophical arguments in their original historical-intellectual context;,evaluate,analyze,FALSE
12,11,Identify the different types of environmental assessments and the decision-making contexts in which they are applied.,remember,analyze,FALSE
13,12,Explain the mechanisms of DNA replication and expression of genetic information.,understand,analyze,FALSE
14,13,Reflect upon skills required to work in the area of sustainable development and identify skills they wish to develop further and;,remember,evaluate,FALSE
15,14,Identify the unique attributes and diverse nature of Information Technology projects;,remember,analyze,FALSE
16,15,Interpret and apply the principles of food safety management such as GMP and HACCP principles and articulate how these are put into practice in different operational settings;,apply,analyze,FALSE
17,16,Critically evaluate the role of leadership in ensemble performance.,evaluate,evaluate,TRUE
18,17,"Demonstrate awareness of the varying use of key concepts across the fields (for example, 'medium', 'audience', 'discourse', 'culture', 'genre' and 'power')",apply,analyze,FALSE
19,18,demonstrate how digital forensics can be employed by Police and Tax officials in a court of law.,apply,apply,TRUE
20,19,"Communicate the nature and application of behavioural and psychosocial interventions for both professional and lay audiences, including low literate audiences.",create,understand,FALSE
21,20,Explain how the institutions of the Australian legal system shape the content and administration of the law,understand,analyze,FALSE
22,21,"Communicate clearly the key concepts of the unit across a range of styles and technologies using spoken, diagrammatic and written forms.",create,create,TRUE
23,22,Have obtained in-depth understanding of nonverbal communications;,understand,understand,TRUE
24,23,"transform the intended learning of the primary mathematics curriculum into effective lessons that encourage positive dispositions, curiosity and engagement, including use of digital technologies to expand learning opportunities for learners",create,create,TRUE
25,24,"explore effective ways to plan, teach and assess learning experiences to develop young children's early reading, writing, oral language and new literacies",create,create,TRUE
26,25,"Create a comprehensive case formulation for a young person drawing together developmental history, and construct an appropriate treatment plan;",create,create,TRUE
27,26,"Compare and contrast the microbial pathogenesis, transmission, diagnosis, prevention and treatment of different infections;",evaluate,analyze,FALSE
28,27,"Communicate effectively with people who are experiencing disturbances of thoughts, feelings and behaviour.",create,apply,FALSE
29,28,"Demonstrate understanding of fundamental legal challenges created by the intersection ofethical, policy and governance mechanisms in the context of digital technology.",understand,analyze,FALSE
30,29,"Discuss the evolving role of the emperor during the Julio-Claudian dynasty, especially how the position was shaped by the individual personality of the incumbent and the response from across the Roman social spectrum",understand,analyze,FALSE
31,30,"Identify, observe key ethical and legal obligations associated with news reporting, and reflect critically on their own and others' performance in this regard",remember,evaluate,FALSE
32,31,To foster knowledge about Australia's democratic institutions and their inter-relationship with the community and with the processes of government,remember,understand,FALSE
33,32,"Describe concepts and perform calculations in quantum mechanics, using the Dirac and Schrodinger formalism, and apply this knowledge to the analytical solution of model quantum systems.",apply,analyze,FALSE
34,33,"Design experiments, and identify common flaws in experimental design that arise in biological research.",remember,analyze,FALSE
35,34,understand the key principles of utilising systems of support within schools and systems,understand,understand,TRUE
36,35,integrate retail marketing and brand management strategies to maximise the effectiveness of retailing practice.,create,create,TRUE
37,36,Demonstrate language proficiency equivalent to Common European Framework of Reference (CEFR) level B1,apply,understand,FALSE
38,37,A practical understanding of the uses of a range of commercial ADR processes.,understand,understand,TRUE
