Annotator,ID,student_text,teacher_text,uptake_majority
groundtruth,1,How many snowballs are there in all?,"Excellent. So you have 10 piles. So the piles are the groups, right?",high
groundtruth,2,"Yeah, the 40 on top.","I like to call it a 40, right? So the 8 stayed in the ones column and the 40 went over to the鈥",mid
groundtruth,3,What do you mean by explain your reasoning? Don鈥檛 you mean explain why?,"All right, explain why you came up with the answer you did, yes. But reasoning also means the why, okay? That鈥檚 another term you could use for that. Now, could you take out your math student activity books and open them to page 21 and 22.",high
groundtruth,4,"Four fifths 鈥 no, 80 percent.",How come you can鈥檛 put it there?,mid
groundtruth,5,"We wrote it down underneath, how long Carrie is from the park and then we subtract them.","Okay. Does this give you times two or would it be half of that- -Susan Jones鈥 house, 87/100 times two.",high
groundtruth,6,鈥 it says like it鈥檚 a segment that goes through the center to another edge?,Mm-hmm.,mid
groundtruth,7,I didn鈥檛 get that.,Now this is 鈥 I鈥檓 saying this assuming that was your answer. That鈥檚 just an example.,low
groundtruth,8,"These prices are, like, $10.00.","Oh, so it鈥檚 gonna be really challenging. But who does 鈥 how many people does it feed?",high
groundtruth,9,Three-thousand-five-hundred-twenty-six yards.,"Okay. Good job. Nineteen, four yards or 13 feet. Student?",mid
groundtruth,10,"Well, I don鈥檛 know how to explain it.",Go ahead and try.,low
groundtruth,11,"Only in multiplication you need to see how many places there are before it, but in addition you don鈥檛 have to do that.",Only in multiplication do you need to count your places behind your decimal. In addition you just have to make sure your decimals are 鈥,mid
groundtruth,12,You would have had like 2 wholes. It should be 56 hundredths.,"Okay, I鈥檓 sorry, I did it wrong. All right, you are right. So let鈥檚 do this one again, I鈥檓 sorry. It was 28 hundredths, I鈥檓 sorry about that, and we鈥檙e multiplying it by 2 wholes. So we still get 56, but now, well done, Student J, the decimal has to be moved over two places, one, two, and now it reads 56 hundredths. Can you show me what 56 hundredths looks like? Remember, Student T, we have to change it from five and six- tenths because I put the decimal in the wrong place, to 56 hundredths. Student T, same thing. We made an error here because I wrote the decimal wrong. Which is a good point, because it just goes to show you that depending on how many places you have behind a decimal will change your answer. Because five and six-tenths and 56 hundredths are going to give you two totally different answers. But this is the answer that we鈥檙e looking for, right here. Okay, so you can either have it like this, where you have five what?",high
groundtruth,13,Because it鈥檚 85 hundredths.,"It does say 85 hundredths, but what if someone didn鈥檛 know how to read that? How do we know that we鈥檙e dealing with the hundredths?",high
groundtruth,14,Because there鈥檚 nothing on the dividend.,"Divisor. There鈥檚 not a decimal in the divisor, so I don鈥檛 have to move it over anywhere, okay. So 2 goes into 2 how many times?",mid
groundtruth,15,He as gonna spell the full name.,"It鈥檚 not exactly see how it鈥檚 like in the middle your ordered pair has to be exactly on the corner, cause look at when I go up. 10, 5 it needs to be exactly right at that spot it can鈥檛 be at the middle okay. So let鈥檚 erase that. Try it again. Put those away Student R I don鈥檛 know why I鈥檓 having so much trouble with you today following along. You have a warning. So there鈥檚 one how many ordered pairs does a destroyer take up?",low
groundtruth,16,I was showing them my way.,Okay. Where is your formula for the parallelogram?,mid
groundtruth,17,Because in every group there鈥檚 three circles.,"Okay. So, we have our four equal groups. Now, shade in the group we originally circled, like, color in the circles. Good. All right, Student S, so why is that one-fourth?",mid
groundtruth,18,Could we put it like this?,"They have to have those answers, Student J. If they don鈥檛 have that, then mark it wrong. Number 18 鈥 I鈥檓 sorry, 10. If we add that, the sum is what? Student J?",mid
groundtruth,19,You cut it in half.,This way or this way?,mid
groundtruth,20,Area of a parallelogram is base times height.,"Area of a, and I鈥檓 sorry, my drawings aren鈥檛 too great today. Especially that one.",low
A1,1,How many snowballs are there in all?,"Excellent. So you have 10 piles. So the piles are the groups, right?",high
A1,2,"Yeah, the 40 on top.","I like to call it a 40, right? So the 8 stayed in the ones column and the 40 went over to the鈥",mid
A1,3,What do you mean by explain your reasoning? Don鈥檛 you mean explain why?,"All right, explain why you came up with the answer you did, yes. But reasoning also means the why, okay? That鈥檚 another term you could use for that. Now, could you take out your math student activity books and open them to page 21 and 22.",high
A1,4,"Four fifths 鈥 no, 80 percent.",How come you can鈥檛 put it there?,low
A1,5,"We wrote it down underneath, how long Carrie is from the park and then we subtract them.","Okay. Does this give you times two or would it be half of that- -Susan Jones鈥 house, 87/100 times two.",mid
A1,6,鈥 it says like it鈥檚 a segment that goes through the center to another edge?,Mm-hmm.,low
A1,7,I didn鈥檛 get that.,Now this is 鈥 I鈥檓 saying this assuming that was your answer. That鈥檚 just an example.,high
A1,8,"These prices are, like, $10.00.","Oh, so it鈥檚 gonna be really challenging. But who does 鈥 how many people does it feed?",mid
A1,9,Three-thousand-five-hundred-twenty-six yards.,"Okay. Good job. Nineteen, four yards or 13 feet. Student?",high
A1,10,"Well, I don鈥檛 know how to explain it.",Go ahead and try.,mid
A1,11,"Only in multiplication you need to see how many places there are before it, but in addition you don鈥檛 have to do that.",Only in multiplication do you need to count your places behind your decimal. In addition you just have to make sure your decimals are 鈥,high
A1,12,You would have had like 2 wholes. It should be 56 hundredths.,"Okay, I鈥檓 sorry, I did it wrong. All right, you are right. So let鈥檚 do this one again, I鈥檓 sorry. It was 28 hundredths, I鈥檓 sorry about that, and we鈥檙e multiplying it by 2 wholes. So we still get 56, but now, well done, Student J, the decimal has to be moved over two places, one, two, and now it reads 56 hundredths. Can you show me what 56 hundredths looks like? Remember, Student T, we have to change it from five and six- tenths because I put the decimal in the wrong place, to 56 hundredths. Student T, same thing. We made an error here because I wrote the decimal wrong. Which is a good point, because it just goes to show you that depending on how many places you have behind a decimal will change your answer. Because five and six-tenths and 56 hundredths are going to give you two totally different answers. But this is the answer that we鈥檙e looking for, right here. Okay, so you can either have it like this, where you have five what?",high
A1,13,Because it鈥檚 85 hundredths.,"It does say 85 hundredths, but what if someone didn鈥檛 know how to read that? How do we know that we鈥檙e dealing with the hundredths?",high
A1,14,Because there鈥檚 nothing on the dividend.,"Divisor. There鈥檚 not a decimal in the divisor, so I don鈥檛 have to move it over anywhere, okay. So 2 goes into 2 how many times?",high
A1,15,He as gonna spell the full name.,"It鈥檚 not exactly see how it鈥檚 like in the middle your ordered pair has to be exactly on the corner, cause look at when I go up. 10, 5 it needs to be exactly right at that spot it can鈥檛 be at the middle okay. So let鈥檚 erase that. Try it again. Put those away Student R I don鈥檛 know why I鈥檓 having so much trouble with you today following along. You have a warning. So there鈥檚 one how many ordered pairs does a destroyer take up?",low
A1,16,I was showing them my way.,Okay. Where is your formula for the parallelogram?,mid
A1,17,Because in every group there鈥檚 three circles.,"Okay. So, we have our four equal groups. Now, shade in the group we originally circled, like, color in the circles. Good. All right, Student S, so why is that one-fourth?",high
A1,18,Could we put it like this?,"They have to have those answers, Student J. If they don鈥檛 have that, then mark it wrong. Number 18 鈥 I鈥檓 sorry, 10. If we add that, the sum is what? Student J?",mid
A1,19,You cut it in half.,This way or this way?,high
A1,20,Area of a parallelogram is base times height.,"Area of a, and I鈥檓 sorry, my drawings aren鈥檛 too great today. Especially that one.",low
A2,1,How many snowballs are there in all?,"Excellent. So you have 10 piles. So the piles are the groups, right?",high
A2,2,"Yeah, the 40 on top.","I like to call it a 40, right? So the 8 stayed in the ones column and the 40 went over to the鈥",mid
A2,3,What do you mean by explain your reasoning? Don鈥檛 you mean explain why?,"All right, explain why you came up with the answer you did, yes. But reasoning also means the why, okay? That鈥檚 another term you could use for that. Now, could you take out your math student activity books and open them to page 21 and 22.",high
A2,4,"Four fifths 鈥 no, 80 percent.",How come you can鈥檛 put it there?,low
A2,5,"We wrote it down underneath, how long Carrie is from the park and then we subtract them.","Okay. Does this give you times two or would it be half of that- -Susan Jones鈥 house, 87/100 times two.",high
A2,6,鈥 it says like it鈥檚 a segment that goes through the center to another edge?,Mm-hmm.,mid
A2,7,I didn鈥檛 get that.,Now this is 鈥 I鈥檓 saying this assuming that was your answer. That鈥檚 just an example.,high
A2,8,"These prices are, like, $10.00.","Oh, so it鈥檚 gonna be really challenging. But who does 鈥 how many people does it feed?",high
A2,9,Three-thousand-five-hundred-twenty-six yards.,"Okay. Good job. Nineteen, four yards or 13 feet. Student?",mid
A2,10,"Well, I don鈥檛 know how to explain it.",Go ahead and try.,mid
A2,11,"Only in multiplication you need to see how many places there are before it, but in addition you don鈥檛 have to do that.",Only in multiplication do you need to count your places behind your decimal. In addition you just have to make sure your decimals are 鈥,high
A2,12,You would have had like 2 wholes. It should be 56 hundredths.,"Okay, I鈥檓 sorry, I did it wrong. All right, you are right. So let鈥檚 do this one again, I鈥檓 sorry. It was 28 hundredths, I鈥檓 sorry about that, and we鈥檙e multiplying it by 2 wholes. So we still get 56, but now, well done, Student J, the decimal has to be moved over two places, one, two, and now it reads 56 hundredths. Can you show me what 56 hundredths looks like? Remember, Student T, we have to change it from five and six- tenths because I put the decimal in the wrong place, to 56 hundredths. Student T, same thing. We made an error here because I wrote the decimal wrong. Which is a good point, because it just goes to show you that depending on how many places you have behind a decimal will change your answer. Because five and six-tenths and 56 hundredths are going to give you two totally different answers. But this is the answer that we鈥檙e looking for, right here. Okay, so you can either have it like this, where you have five what?",high
A2,13,Because it鈥檚 85 hundredths.,"It does say 85 hundredths, but what if someone didn鈥檛 know how to read that? How do we know that we鈥檙e dealing with the hundredths?",high
A2,14,Because there鈥檚 nothing on the dividend.,"Divisor. There鈥檚 not a decimal in the divisor, so I don鈥檛 have to move it over anywhere, okay. So 2 goes into 2 how many times?",high
A2,15,He as gonna spell the full name.,"It鈥檚 not exactly see how it鈥檚 like in the middle your ordered pair has to be exactly on the corner, cause look at when I go up. 10, 5 it needs to be exactly right at that spot it can鈥檛 be at the middle okay. So let鈥檚 erase that. Try it again. Put those away Student R I don鈥檛 know why I鈥檓 having so much trouble with you today following along. You have a warning. So there鈥檚 one how many ordered pairs does a destroyer take up?",low
A2,16,I was showing them my way.,Okay. Where is your formula for the parallelogram?,mid
A2,17,Because in every group there鈥檚 three circles.,"Okay. So, we have our four equal groups. Now, shade in the group we originally circled, like, color in the circles. Good. All right, Student S, so why is that one-fourth?",high
A2,18,Could we put it like this?,"They have to have those answers, Student J. If they don鈥檛 have that, then mark it wrong. Number 18 鈥 I鈥檓 sorry, 10. If we add that, the sum is what? Student J?",mid
A2,19,You cut it in half.,This way or this way?,mid
A2,20,Area of a parallelogram is base times height.,"Area of a, and I鈥檓 sorry, my drawings aren鈥檛 too great today. Especially that one.",low
