"Technique","model","category","precision","recall","f1","accuracy"
"Active Prompting","GPT-3.5","remember",0,0,NA,0
"Active Prompting","GPT-3.5","understand",0.468085106382979,0.88,0.611111111111111,88
"Active Prompting","GPT-3.5","apply",0.764705882352941,0.52,0.619047619047619,52
"Active Prompting","GPT-3.5","analyze",0.545454545454545,0.72,0.620689655172414,72
"Active Prompting","GPT-3.5","evaluate",0.513513513513513,0.76,0.612903225806452,76
"Active Prompting","GPT-3.5","create",0.866666666666667,0.52,0.65,52
"Active Prompting","GPT-5","remember",0.777777777777778,0.56,0.651162790697674,56
"Active Prompting","GPT-5","understand",0.67741935483871,0.84,0.75,84
"Active Prompting","GPT-5","apply",0.730769230769231,0.76,0.745098039215686,76
"Active Prompting","GPT-5","analyze",0.75,0.72,0.73469387755102,72
"Active Prompting","GPT-5","evaluate",0.633333333333333,0.76,0.690909090909091,76
"Active Prompting","GPT-5","create",0.714285714285714,0.6,0.652173913043478,60
"Active Prompting_APO10","GPT-3.5","remember",0,0,NA,0
"Active Prompting_APO10","GPT-3.5","understand",0.468085106382979,0.88,0.611111111111111,88
"Active Prompting_APO10","GPT-3.5","apply",0.764705882352941,0.52,0.619047619047619,52
"Active Prompting_APO10","GPT-3.5","analyze",0.545454545454545,0.72,0.620689655172414,72
"Active Prompting_APO10","GPT-3.5","evaluate",0.513513513513513,0.76,0.612903225806452,76
"Active Prompting_APO10","GPT-3.5","create",0.866666666666667,0.52,0.65,52
"Active Prompting_APO10","GPT-5","remember",0.75,0.48,0.585365853658537,48
"Active Prompting_APO10","GPT-5","understand",0.571428571428571,0.8,0.666666666666667,80
"Active Prompting_APO10","GPT-5","apply",0.75,0.72,0.73469387755102,72
"Active Prompting_APO10","GPT-5","analyze",0.695652173913043,0.64,0.666666666666667,64
"Active Prompting_APO10","GPT-5","evaluate",0.612903225806452,0.76,0.678571428571428,76
"Active Prompting_APO10","GPT-5","create",0.666666666666667,0.56,0.608695652173913,56
"Active Prompting_APO20","GPT-3.5","remember",0.5,0.04,0.0740740740740741,4
"Active Prompting_APO20","GPT-3.5","understand",0.44,0.88,0.586666666666667,88
"Active Prompting_APO20","GPT-3.5","apply",0.75,0.48,0.585365853658537,48
"Active Prompting_APO20","GPT-3.5","analyze",0.486486486486487,0.72,0.580645161290323,72
"Active Prompting_APO20","GPT-3.5","evaluate",0.606060606060606,0.8,0.689655172413793,80
"Active Prompting_APO20","GPT-3.5","create",1,0.48,0.648648648648649,48
"Active Prompting_APO20","GPT-5","remember",0.823529411764706,0.56,0.666666666666667,56
