"","Technique","model","category","accuracy","precision","recall"
"1","Active Prompting","GPT-3.5","1",0.8,1,0.210526315789474
"2","Active Prompting","GPT-3.5","2",0.64,0.388888888888889,0.736842105263158
"3","Active Prompting","GPT-3.5","3",0.733333333333333,0.470588235294118,0.421052631578947
"4","Active Prompting","GPT-3.5","4",0.866666666666667,0.722222222222222,0.722222222222222
"5","Active Prompting","GPT-3.5","Overall",0.52,0.645424836601307,0.52266081871345
"6","Active Prompting","GPT-5","1",0.833333333333333,0.933333333333333,0.368421052631579
"7","Active Prompting","GPT-5","2",0.72,0.466666666666667,0.736842105263158
"8","Active Prompting","GPT-5","3",0.78,0.549019607843137,0.736842105263158
"9","Active Prompting","GPT-5","4",0.893333333333333,0.916666666666667,0.611111111111111
"10","Active Prompting","GPT-5","Overall",0.613333333333333,0.716421568627451,0.613304093567251
"11","Active Prompting_APO10","GPT-3.5","1",0.82,0.866666666666667,0.342105263157895
"12","Active Prompting_APO10","GPT-3.5","2",0.673333333333333,0.417910447761194,0.736842105263158
"13","Active Prompting_APO10","GPT-3.5","3",0.713333333333333,0.432432432432432,0.421052631578947
"14","Active Prompting_APO10","GPT-3.5","4",0.86,0.741935483870968,0.638888888888889
"15","Active Prompting_APO10","GPT-3.5","Overall",0.533333333333333,0.614736257682815,0.534722222222222
"16","Active Prompting_APO10","GPT-5","1",0.833333333333333,0.933333333333333,0.368421052631579
"17","Active Prompting_APO10","GPT-5","2",0.72,0.466666666666667,0.736842105263158
"18","Active Prompting_APO10","GPT-5","3",0.78,0.549019607843137,0.736842105263158
"19","Active Prompting_APO10","GPT-5","4",0.893333333333333,0.916666666666667,0.611111111111111
"20","Active Prompting_APO10","GPT-5","Overall",0.613333333333333,0.716421568627451,0.613304093567251
"21","Active Prompting_APO20","GPT-3.5","1",0.8,1,0.210526315789474
"22","Active Prompting_APO20","GPT-3.5","2",0.64,0.388888888888889,0.736842105263158
"23","Active Prompting_APO20","GPT-3.5","3",0.733333333333333,0.470588235294118,0.421052631578947
"24","Active Prompting_APO20","GPT-3.5","4",0.866666666666667,0.722222222222222,0.722222222222222
"25","Active Prompting_APO20","GPT-3.5","Overall",0.52,0.645424836601307,0.52266081871345
"26","Active Prompting_APO20","GPT-5","1",0.833333333333333,1,0.342105263157895
"27","Active Prompting_APO20","GPT-5","2",0.753333333333333,0.507246376811594,0.921052631578947
"28","Active Prompting_APO20","GPT-5","3",0.833333333333333,0.644444444444444,0.763157894736842
"29","Active Prompting_APO20","GPT-5","4",0.9,0.956521739130435,0.611111111111111
"30","Active Prompting_APO20","GPT-5","Overall",0.66,0.777053140096618,0.659356725146199
"31","Active Prompting_APO50","GPT-3.5","1",0.82,0.866666666666667,0.342105263157895
"32","Active Prompting_APO50","GPT-3.5","2",0.72,0.46875,0.789473684210526
"33","Active Prompting_APO50","GPT-3.5","3",0.726666666666667,0.457142857142857,0.421052631578947
"34","Active Prompting_APO50","GPT-3.5","4",0.88,0.75,0.75
"35","Active Prompting_APO50","GPT-3.5","Overall",0.573333333333333,0.635639880952381,0.575657894736842
"36","Active Prompting_APO50","GPT-5","1",0.846666666666667,0.894736842105263,0.447368421052632
"37","Active Prompting_APO50","GPT-5","2",0.713333333333333,0.463768115942029,0.842105263157895
"38","Active Prompting_APO50","GPT-5","3",0.773333333333333,0.552631578947368,0.552631578947368
"39","Active Prompting_APO50","GPT-5","4",0.893333333333333,0.916666666666667,0.611111111111111
"40","Active Prompting_APO50","GPT-5","Overall",0.613333333333333,0.706950800915332,0.613304093567251
"41","Auto-CoT","GPT-3.5","1",0.653333333333333,0.383333333333333,0.605263157894737
"42","Auto-CoT","GPT-3.5","2",0.68,0.25,0.131578947368421
"43","Auto-CoT","GPT-3.5","3",0.673333333333333,0.387755102040816,0.5
"44","Auto-CoT","GPT-3.5","4",0.86,0.857142857142857,0.5
"45","Auto-CoT","GPT-3.5","Overall",0.433333333333333,0.469557823129252,0.434210526315789
"46","Auto-CoT","GPT-5","1",0.8,1,0.210526315789474
"47","Auto-CoT","GPT-5","2",0.706666666666667,0.455882352941176,0.815789473684211
"48","Auto-CoT","GPT-5","3",0.813333333333333,0.596153846153846,0.815789473684211
"49","Auto-CoT","GPT-5","4",0.88,0.909090909090909,0.555555555555556
"50","Auto-CoT","GPT-5","Overall",0.6,0.740281777046483,0.599415204678363
"51","Auto-CoT_APO10","GPT-3.5","1",0.593333333333333,0.354430379746835,0.736842105263158
"52","Auto-CoT_APO10","GPT-3.5","2",0.653333333333333,0.230769230769231,0.157894736842105
"53","Auto-CoT_APO10","GPT-3.5","3",0.673333333333333,0.28,0.184210526315789
"54","Auto-CoT_APO10","GPT-3.5","4",0.853333333333333,0.85,0.472222222222222
"55","Auto-CoT_APO10","GPT-3.5","Overall",0.386666666666667,0.428799902629017,0.387792397660819
"56","Auto-CoT_APO10","GPT-5","1",0.8,1,0.210526315789474
"57","Auto-CoT_APO10","GPT-5","2",0.706666666666667,0.455882352941176,0.815789473684211
"58","Auto-CoT_APO10","GPT-5","3",0.813333333333333,0.596153846153846,0.815789473684211
"59","Auto-CoT_APO10","GPT-5","4",0.88,0.909090909090909,0.555555555555556
"60","Auto-CoT_APO10","GPT-5","Overall",0.6,0.740281777046483,0.599415204678363
"61","Auto-CoT_APO20","GPT-3.5","1",0.653333333333333,0.383333333333333,0.605263157894737
"62","Auto-CoT_APO20","GPT-3.5","2",0.68,0.25,0.131578947368421
"63","Auto-CoT_APO20","GPT-3.5","3",0.673333333333333,0.387755102040816,0.5
"64","Auto-CoT_APO20","GPT-3.5","4",0.86,0.857142857142857,0.5
"65","Auto-CoT_APO20","GPT-3.5","Overall",0.433333333333333,0.469557823129252,0.434210526315789
"66","Auto-CoT_APO20","GPT-5","1",0.82,1,0.289473684210526
"67","Auto-CoT_APO20","GPT-5","2",0.673333333333333,0.430379746835443,0.894736842105263
"68","Auto-CoT_APO20","GPT-5","3",0.766666666666667,0.540540540540541,0.526315789473684
"69","Auto-CoT_APO20","GPT-5","4",0.886666666666667,0.91304347826087,0.583333333333333
"70","Auto-CoT_APO20","GPT-5","Overall",0.573333333333333,0.720990941409213,0.573464912280702
"71","Auto-CoT_APO50","GPT-3.5","1",0.546666666666667,0.307692307692308,0.631578947368421
