"","Technique","model","category","accuracy","precision","recall"
"1","Active Prompting","GPT-3.5","Low",0.733333333333333,0.777777777777778,0.28
"2","Active Prompting","GPT-3.5","Mid",0.586666666666667,0.434782608695652,0.8
"3","Active Prompting","GPT-3.5","High",0.746666666666667,0.65,0.52
"4","Active Prompting","GPT-3.5","Overall",0.533333333333333,0.62085346215781,0.533333333333333
"5","Active Prompting","GPT-5","Low",0.773333333333333,0.614285714285714,0.86
"6","Active Prompting","GPT-5","Mid",0.626666666666667,0.444444444444444,0.48
"7","Active Prompting","GPT-5","High",0.76,0.769230769230769,0.4
"8","Active Prompting","GPT-5","Overall",0.58,0.609320309320309,0.58
"9","Auto-CoT","GPT-3.5","Low",0.626666666666667,0.45,0.54
"10","Auto-CoT","GPT-3.5","Mid",0.5,0.288135593220339,0.34
"11","Auto-CoT","GPT-3.5","High",0.58,0.290322580645161,0.18
"12","Auto-CoT","GPT-3.5","Overall",0.353333333333333,0.3428193912885,0.353333333333333
"13","Auto-CoT","GPT-5","Low",0.66,0.49438202247191,0.88
"14","Auto-CoT","GPT-5","Mid",0.54,0.306122448979592,0.3
"15","Auto-CoT","GPT-5","High",0.706666666666667,0.75,0.18
"16","Auto-CoT","GPT-5","Overall",0.453333333333333,0.516834823817167,0.453333333333333
"17","DSPy_100","GPT-3.5","Low",0.613333333333333,0.923076923076923,0.470588235294118
"18","DSPy_100","GPT-3.5","Mid",0.586666666666667,0.422222222222222,0.791666666666667
"19","DSPy_100","GPT-3.5","High",0.946666666666667,0,NA
"20","DSPy_100","GPT-3.5","Overall",0.573333333333333,0.672649572649573,0.631127450980392
"21","DSPy_100","GPT-5","Low",0.646666666666667,1,0.480392156862745
"22","DSPy_100","GPT-5","Mid",0.546666666666667,0.348484848484849,0.479166666666667
"23","DSPy_100","GPT-5","High",0.766666666666667,0,NA
"24","DSPy_100","GPT-5","Overall",0.48,0.674242424242424,0.479779411764706
"25","DSPy_200","GPT-3.5","Low",0.62,0.868852459016393,0.519607843137255
"26","DSPy_200","GPT-3.5","Mid",0.633333333333333,0.458823529411765,0.8125
"27","DSPy_200","GPT-3.5","High",0.973333333333333,0,NA
"28","DSPy_200","GPT-3.5","Overall",0.613333333333333,0.663837994214079,0.666053921568627
"29","DSPy_200","GPT-5","Low",0.673333333333333,0.964912280701754,0.53921568627451
"30","DSPy_200","GPT-5","Mid",0.62,0.443037974683544,0.729166666666667
"31","DSPy_200","GPT-5","High",0.906666666666667,0,NA
"32","DSPy_200","GPT-5","Overall",0.6,0.703975127692649,0.634191176470588
"33","DSPy_300","GPT-3.5","Low",0.453333333333333,0.916666666666667,0.215686274509804
"34","DSPy_300","GPT-3.5","Mid",0.48,0.361111111111111,0.8125
"35","DSPy_300","GPT-3.5","High",0.88,0,NA
"36","DSPy_300","GPT-3.5","Overall",0.406666666666667,0.638888888888889,0.514093137254902
"37","DSPy_300","GPT-5","Low",0.646666666666667,0.962264150943396,0.5
"38","DSPy_300","GPT-5","Mid",0.586666666666667,0.414634146341463,0.708333333333333
"39","DSPy_300","GPT-5","High",0.9,0,NA
"40","DSPy_300","GPT-5","Overall",0.566666666666667,0.68844914864243,0.604166666666667
"41","Few-shot","GPT-3.5","Low",0.72,0.653846153846154,0.34
"42","Few-shot","GPT-3.5","Mid",0.493333333333333,0.372549019607843,0.76
"43","Few-shot","GPT-3.5","High",0.746666666666667,0.772727272727273,0.34
"44","Few-shot","GPT-3.5","Overall",0.48,0.599707482060423,0.48
"45","Few-shot","GPT-5","Low",0.78,0.654545454545455,0.72
"46","Few-shot","GPT-5","Mid",0.626666666666667,0.4375,0.42
"47","Few-shot","GPT-5","High",0.766666666666667,0.659574468085106,0.62
"48","Few-shot","GPT-5","Overall",0.586666666666667,0.58387330754352,0.586666666666667
"49","Self-Consistency","GPT-3.5","Low",0.68,0.522727272727273,0.46
"50","Self-Consistency","GPT-3.5","Mid",0.58,0.402985074626866,0.54
"51","Self-Consistency","GPT-3.5","High",0.753333333333333,0.666666666666667,0.52
"52","Self-Consistency","GPT-3.5","Overall",0.506666666666667,0.530793004673602,0.506666666666667
"53","Self-Consistency","GPT-5","Low",0.793333333333333,0.702127659574468,0.66
"54","Self-Consistency","GPT-5","Mid",0.64,0.46,0.46
"55","Self-Consistency","GPT-5","High",0.806666666666667,0.69811320754717,0.74
"56","Self-Consistency","GPT-5","Overall",0.62,0.620080289040546,0.62
"57","Zero-shot","GPT-3.5","Low",0.593333333333333,0.43956043956044,0.8
"58","Zero-shot","GPT-3.5","Mid",0.573333333333333,0.28125,0.18
"59","Zero-shot","GPT-3.5","High",0.686666666666667,0.555555555555556,0.3
"60","Zero-shot","GPT-3.5","Overall",0.426666666666667,0.425455331705332,0.426666666666667
"61","Zero-shot","GPT-5","Low",0.673333333333333,0.505494505494505,0.92
"62","Zero-shot","GPT-5","Mid",0.54,0.288888888888889,0.26
"63","Zero-shot","GPT-5","High",0.693333333333333,0.642857142857143,0.18
"64","Zero-shot","GPT-5","Overall",0.453333333333333,0.479080179080179,0.453333333333333
